,Game ID,Date,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful,Outcome
47,87858,27-Sep-2023,Namibia,-10.0,-12.0,-2.0,-22.0,-3.0,-2.0,3.0,-15.0,-16.0,-3.0,-9.0,-1.0,-3.0,1.0,-4.0,0.0,13.0,16.0,1.0,0.0,0.0,0.0,-3.0,-4.0,-6.0,-5.0,7.0,1.0,1.0,1.0,0.0,0.16666666666666663,-0.19999999999999996,-0.07649769585253463,0.0
48,87857,24-Sep-2023,Wales,34.0,4.0,-18.0,34.0,3.0,2.0,4.0,-41.0,-4.0,1.0,-4.0,-10.0,-3.0,1.0,6.0,-6.0,17.0,4.0,6.0,8.0,-6.0,-6.0,10.0,9.0,5.0,5.0,-2.0,-1.0,0.0,0.0,-0.001159420289855162,-0.19999999999999996,0.0,-0.010836330935251826,1.0
49,87857,24-Sep-2023,Australia,-34.0,-4.0,18.0,-34.0,-3.0,-2.0,-4.0,41.0,4.0,-1.0,4.0,10.0,3.0,-1.0,-6.0,6.0,-17.0,-4.0,-6.0,-8.0,6.0,6.0,-10.0,-9.0,-5.0,-5.0,2.0,1.0,0.0,0.0,0.001159420289855162,0.19999999999999996,0.0,0.010836330935251826,0.0
50,87856,24-Sep-2023,Scotland,28.0,16.0,18.0,14.0,5.0,3.0,-1.0,377.0,35.0,13.0,23.0,109.0,8.0,-1.0,1.0,31.0,-43.0,-35.0,2.0,4.0,31.0,32.0,14.0,14.0,-4.0,-5.0,-5.0,3.0,-1.0,-1.0,0.008568443051201746,-0.2857142857142857,-0.019230769230769273,0.1337680136218281,1.0
51,87856,24-Sep-2023,Tonga,-28.0,-16.0,-18.0,-14.0,-5.0,-3.0,1.0,-377.0,-35.0,-13.0,-23.0,-109.0,-8.0,1.0,-1.0,-31.0,43.0,35.0,-2.0,-4.0,-31.0,-32.0,-14.0,-14.0,4.0,5.0,5.0,-3.0,1.0,1.0,-0.008568443051201746,0.2857142857142857,0.019230769230769273,-0.1337680136218281,0.0
52,87855,23-Sep-2023,South Africa,-5.0,2.0,-16.0,20.0,0.0,-1.0,-1.0,165.0,3.0,0.0,9.0,-8.0,2.0,-6.0,-4.0,-12.0,15.0,-3.0,-2.0,2.0,-12.0,-9.0,-4.0,-8.0,4.0,4.0,-1.0,3.0,0.0,0.0,-0.049274255156608215,-0.8,0.10389610389610393,0.032101701115785586,0.0
53,87855,23-Sep-2023,Ireland,5.0,-2.0,16.0,-20.0,0.0,1.0,1.0,-165.0,-3.0,0.0,-9.0,8.0,-2.0,6.0,4.0,12.0,-15.0,3.0,2.0,-2.0,12.0,9.0,4.0,8.0,-4.0,-4.0,1.0,-3.0,0.0,0.0,0.049274255156608215,0.8,-0.10389610389610393,-0.032101701115785586,1.0
54,87854,23-Sep-2023,England,71.0,16.0,40.0,-8.0,11.0,8.0,0.0,429.0,10.0,12.0,54.0,102.0,0.0,5.0,11.0,18.0,-37.0,-10.0,8.0,10.0,18.0,18.0,1.0,-2.0,5.0,5.0,-2.0,1.0,-1.0,0.0,0.009233926128591197,0.7272727272727273,0.13888888888888884,0.017906336088154284,1.0
55,87854,23-Sep-2023,Chile,-71.0,-16.0,-40.0,8.0,-11.0,-8.0,0.0,-429.0,-10.0,-12.0,-54.0,-102.0,0.0,-5.0,-11.0,-18.0,37.0,10.0,-8.0,-10.0,-18.0,-18.0,-1.0,2.0,-5.0,-5.0,2.0,-1.0,1.0,0.0,-0.009233926128591197,-0.7272727272727273,-0.13888888888888884,-0.017906336088154284,0.0
58,87852,22-Sep-2023,Argentina,9.0,22.0,26.0,20.0,0.0,0.0,3.0,256.0,26.0,0.0,46.0,94.0,4.0,-4.0,-1.0,38.0,-60.0,-26.0,3.0,2.0,38.0,39.0,8.0,5.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.015056179775280842,0.33333333333333337,0.2222222222222222,0.09887669801462906,1.0
59,87852,22-Sep-2023,Samoa,-9.0,-22.0,-26.0,-20.0,0.0,0.0,-3.0,-256.0,-26.0,0.0,-46.0,-94.0,-4.0,4.0,1.0,-38.0,60.0,26.0,-3.0,-2.0,-38.0,-39.0,-8.0,-5.0,-2.0,0.0,1.0,1.0,1.0,0.0,-0.015056179775280842,-0.33333333333333337,-0.2222222222222222,-0.09887669801462906,0.0
60,87851,21-Sep-2023,France,96.0,4.0,2.0,6.0,14.0,12.0,0.0,437.0,20.0,18.0,25.0,31.0,8.0,5.0,12.0,-37.0,60.0,-20.0,12.0,12.0,-37.0,-38.0,12.0,11.0,-2.0,-4.0,-5.0,-3.0,-1.0,-1.0,0.0011904761904761862,0.9230769230769232,0.2222222222222222,0.24509803921568607,1.0
61,87851,21-Sep-2023,Namibia,-96.0,-4.0,-2.0,-6.0,-14.0,-12.0,0.0,-437.0,-20.0,-18.0,-25.0,-31.0,-8.0,-5.0,-12.0,37.0,-60.0,20.0,-12.0,-12.0,37.0,38.0,-12.0,-11.0,2.0,4.0,5.0,3.0,1.0,1.0,-0.0011904761904761862,-0.9230769230769232,-0.2222222222222222,-0.24509803921568607,0.0
62,87850,20-Sep-2023,Italy,21.0,2.0,-16.0,16.0,3.0,4.0,1.0,82.0,6.0,-1.0,18.0,62.0,5.0,-2.0,-3.0,-1.0,17.0,-6.0,5.0,3.0,-1.0,4.0,3.0,3.0,5.0,6.0,-1.0,-1.0,1.0,0.0,-0.059099437148217526,0.6666666666666667,0.08333333333333337,0.05066225165562921,1.0
63,87850,20-Sep-2023,Uruguay,-21.0,-2.0,16.0,-16.0,-3.0,-4.0,-1.0,-82.0,-6.0,1.0,-18.0,-62.0,-5.0,2.0,3.0,1.0,-17.0,6.0,-5.0,-3.0,1.0,-4.0,-3.0,-3.0,-5.0,-6.0,1.0,1.0,-1.0,0.0,0.059099437148217526,-0.6666666666666667,-0.08333333333333337,-0.05066225165562921,0.0
64,87849,17-Sep-2023,England,22.0,32.0,22.0,40.0,4.0,4.0,-2.0,209.0,10.0,3.0,30.0,71.0,1.0,-7.0,5.0,45.0,-91.0,-10.0,2.0,3.0,45.0,47.0,2.0,1.0,3.0,4.0,-2.0,2.0,0.0,0.0,-0.011229946524064172,-0.1428571428571429,-0.03896103896103886,-0.02311777569509521,1.0
